2025-02-27 20:10:57,690 [ERROR]  139 произошла ошибка Expecting value: line 1 column 1 (char 0)
2025-02-27 20:48:11,757 [INFO]  84 0
2025-02-27 20:48:11,767 [INFO]  84 0
2025-02-27 20:48:11,776 [INFO]  84 0
2025-02-27 20:48:11,787 [INFO]  84 0
2025-02-27 20:48:11,797 [INFO]  84 0
2025-02-27 20:48:11,807 [INFO]  84 0
2025-02-27 20:48:11,817 [INFO]  84 0
2025-02-27 20:48:11,827 [INFO]  84 0
2025-02-27 20:48:11,837 [INFO]  84 0
2025-02-27 20:48:11,847 [INFO]  84 0
2025-02-27 20:48:11,857 [INFO]  84 0
2025-02-27 20:48:11,867 [INFO]  84 0
2025-02-27 20:48:11,876 [INFO]  84 0
2025-02-27 20:48:11,886 [INFO]  84 0
2025-02-27 20:48:11,897 [INFO]  84 0
2025-02-27 20:48:11,907 [INFO]  84 0
2025-02-27 20:48:11,917 [INFO]  84 0
2025-02-27 20:48:11,927 [INFO]  84 0
2025-02-27 20:48:11,937 [INFO]  84 0
2025-02-27 20:48:11,947 [INFO]  84 0
2025-02-27 20:48:11,958 [INFO]  84 0
2025-02-27 20:48:11,968 [INFO]  84 0
2025-02-27 20:48:11,978 [INFO]  84 0
2025-02-27 20:48:11,988 [INFO]  84 0
2025-02-27 20:48:11,997 [INFO]  84 0
2025-02-27 20:48:12,008 [INFO]  84 0
2025-02-27 20:48:12,018 [INFO]  84 0
2025-02-27 20:48:12,028 [INFO]  84 0
2025-02-27 20:48:12,038 [INFO]  84 0
2025-02-27 20:48:12,048 [INFO]  84 0
2025-02-27 20:48:12,057 [INFO]  101 0
2025-02-27 20:48:12,057 [INFO]  105 0, how
2025-02-27 20:48:12,057 [INFO]  84 0
2025-02-27 20:48:12,068 [INFO]  84 0
2025-02-27 20:48:12,078 [INFO]  84 0
2025-02-27 20:48:12,088 [INFO]  84 0
2025-02-27 20:48:12,098 [INFO]  84 0
2025-02-27 20:48:12,108 [INFO]  84 0
2025-02-27 20:48:12,118 [INFO]  84 0
2025-02-27 20:48:12,128 [INFO]  84 0
2025-02-27 20:48:12,138 [INFO]  84 0
2025-02-27 20:48:12,148 [INFO]  84 0
2025-02-27 20:48:12,158 [INFO]  84 0
2025-02-27 20:48:12,169 [INFO]  84 0
2025-02-27 20:48:12,179 [INFO]  84 0
2025-02-27 20:48:12,189 [INFO]  84 0
2025-02-27 20:48:12,199 [INFO]  84 0
2025-02-27 20:48:12,209 [INFO]  84 0
2025-02-27 20:48:12,219 [INFO]  84 0
2025-02-27 20:48:12,229 [INFO]  84 0
2025-02-27 20:48:12,240 [INFO]  84 0
2025-02-27 20:48:12,250 [INFO]  84 0
2025-02-27 20:48:12,260 [INFO]  84 0
2025-02-27 20:48:12,270 [INFO]  84 0
2025-02-27 20:48:12,280 [INFO]  84 0
2025-02-27 20:48:12,290 [INFO]  84 0
2025-02-27 20:48:12,300 [INFO]  84 0
2025-02-27 20:48:12,311 [INFO]  84 0
2025-02-27 20:48:12,321 [INFO]  84 0
2025-02-27 20:48:12,331 [INFO]  84 0
2025-02-27 20:48:12,341 [INFO]  84 0
2025-02-27 20:48:12,351 [INFO]  84 0
2025-02-27 20:48:12,362 [INFO]  84 0
2025-02-27 20:48:12,372 [INFO]  84 0
2025-02-27 20:48:12,382 [INFO]  84 0
2025-02-27 20:48:12,392 [INFO]  84 0
2025-02-27 20:48:12,402 [INFO]  84 0
2025-02-27 20:48:12,412 [INFO]  84 0
2025-02-27 20:48:12,422 [INFO]  84 0
2025-02-27 20:48:12,432 [INFO]  84 0
2025-02-27 20:48:12,442 [INFO]  84 0
2025-02-27 20:48:12,451 [INFO]  84 0
2025-02-27 20:48:12,462 [INFO]  84 0
2025-02-27 20:48:12,472 [INFO]  84 0
2025-02-27 20:48:12,482 [INFO]  84 0
2025-02-27 20:48:12,492 [INFO]  84 0
2025-02-27 20:48:12,502 [INFO]  84 0
2025-02-27 20:48:12,512 [INFO]  84 0
2025-02-27 20:48:12,522 [INFO]  84 0
2025-02-27 20:48:12,531 [INFO]  84 0
2025-02-27 20:48:12,541 [INFO]  84 0
2025-02-27 20:48:12,552 [INFO]  84 0
2025-02-27 20:48:12,562 [INFO]  84 0
2025-02-27 20:48:12,572 [INFO]  84 0
2025-02-27 20:48:12,582 [INFO]  84 0
2025-02-27 20:48:12,592 [INFO]  84 0
2025-02-27 20:48:12,602 [INFO]  84 0
2025-02-27 20:48:12,613 [INFO]  84 0
2025-02-27 20:48:12,622 [INFO]  84 0
2025-02-27 20:48:12,633 [INFO]  84 0
2025-02-27 20:48:12,643 [INFO]  84 0
2025-02-27 20:48:12,653 [INFO]  84 0
2025-02-27 20:48:12,663 [INFO]  84 0
2025-02-27 20:48:12,673 [INFO]  84 0
2025-02-27 20:48:12,683 [INFO]  84 0
2025-02-27 20:48:12,693 [INFO]  84 0
2025-02-27 20:48:12,703 [INFO]  84 0
